0;0.01;4166.86;-1.85;1891339.00;;
1;0.01;4166.86;-1.85;1891372.00;;
2;0.01;4166.86;-1.85;1891405.00;;
3;0.01;4166.86;-1.85;1891456.00;;
4;0.01;4166.86;-1.85;1891489.00;;
5;0.01;4166.86;-1.85;1891522.00;;
6;0.01;4166.86;-1.85;1891527.00;;
7;0.01;4166.86;-1.85;1891555.00;;
8;0.01;4166.86;-1.85;1891588.00;;
9;0.01;4166.86;-1.85;1891621.00;;
10;0.01;4166.86;-1.85;1891654.00;;
11;0.01;4166.86;-1.85;1891687.00;;
12;0.01;4166.86;-1.85;1891720.00;;
13;0.01;4166.86;-1.85;1891753.00;;
14;0.01;4166.86;-1.85;1891786.00;;
15;0.01;4166.86;-1.85;1891820.00;;
16;-0.01;4168.75;-1.86;1891853.00;;
17;-0.02;4170.63;-1.91;1891886.00;;
18;-0.06;4174.39;-2.14;1891919.00;;
19;-0.08;4176.27;-2.30;1891952.00;;
20;-0.10;4181.89;-2.86;1891985.00;;
21;-0.06;4185.66;-3.09;1892018.00;;
22;-0.01;4191.31;-3.12;1892051.00;;
23;0.01;4196.96;-3.04;1892084.00;;
24;0.05;4204.48;-2.65;1892118.00;;
25;0.09;4211.99;-1.98;1892151.00;;
26;0.07;4221.39;-1.31;1892184.00;;
27;0.07;4228.90;-0.77;1892217.00;;
28;0.05;4238.31;-0.27;1892250.00;;
29;0.03;4247.72;0.06;1892283.00;;
30;-0.02;4253.38;-0.06;1892316.00;;
31;-0.04;4262.79;-0.44;1892349.00;;
32;-0.06;4272.19;-0.99;1892382.00;;
33;-0.08;4281.58;-1.72;1892415.00;;
34;-0.04;4304.17;-2.58;1892487.00;;
35;-0.02;4313.59;-2.76;1892520.00;;
36;0.00;4323.01;-2.76;1892553.00;;
37;0.00;4334.32;-2.76;1892586.00;;
38;0.00;4341.85;-2.75;1892619.00;;
39;0.02;4351.27;-2.57;1892653.00;;
40;0.02;4362.57;-2.33;1892685.00;;
41;0.00;4371.99;-2.32;1892718.00;;
42;0.04;4383.29;-1.86;1892751.00;;
43;0.02;4392.71;-1.66;1892784.00;;
44;0.00;4402.13;-1.63;1892817.00;;
